tab,plot,why_it_matters,data_files
Overview,Strategic radar + latest margin + overall score,"Use the radar only as a management entry point: it highlights where Nordzucker’s strategic pressure concentrates, while the margin plot checks whether the score reflects actual earnings pressure.",ci_axis_scores.csv; ci_financial_timeseries.csv; ci_overall_scores.csv
Finance,Operating margin trend,Shows whether revenue growth translated into profit or merely followed temporary sugar-price inflation. This is the key finance view because sugar producers can report higher revenue while margins collapse when beet costs and sales prices diverge.,ci_financial_timeseries.csv
Finance,Sugar-related segment margin trend,"Avoids misleading group comparisons by focusing on sugar-related activities. It makes ABF Sugar’s 2025 margin collapse, Südzucker’s sugar segment pressure and Nordzucker’s own downturn comparable on a percentage basis.",ci_segment_financial_timeseries.csv
Risk,EU white sugar price trend,"Connects company performance to the common market shock. A falling EU sugar price should be read as a sector-wide risk driver, not as a company-specific event.",ci_market_price_timeseries.csv
Risk,Profitability drawdown from recent peak,Converts risk into a visible financial effect: how much of the recent margin peak has been lost. This is more useful than a generic risk score because it shows realized exposure.,ci_segment_financial_timeseries.csv
Sustainability,Climate target comparison,"Compares the architecture of climate commitments: operational Scope 1+2, supply-chain Scope 3/FLAG and net-zero targets are different business risks and should be interpreted separately.",ci_sustainability_targets.csv
Sustainability,Operational emissions trend,Checks whether climate ambition is visible in real operating data. For Nordzucker it tracks Scope 1 development; for ABF Sugar it adds Scope 1+2 market-based disclosure where available.,ci_emissions_timeseries.csv
Operations,Countries versus plants footprint,"Distinguishes geographic diversification from production complexity. Many countries can reduce market concentration, while many plants can either provide flexibility or create fixed-cost exposure.",ci_operations_profile.csv
Operations,Visible sugar production mix,"Shows how much of the disclosed sugar production depends on beet versus cane. This matters for climate, water, agriculture and regional policy exposure.",ci_operations_profile.csv
Products,Product/co-product portfolio heatmap,"Shows whether a peer is mainly exposed to commodity sugar or can use co-products, ethanol, feed, starch or energy to diversify revenue pools.",ci_product_portfolio_matrix.csv
Regulation,Reporting and policy readiness,"Separates disclosure maturity from business performance. Strong reporting makes risk more visible, but does not automatically mean lower regulatory exposure.",ci_regulation_context.csv
Investment,Capex trend and investment intensity,"Tests whether companies are investing from strength or investing because restructuring, decarbonisation and capacity changes are unavoidable.",ci_financial_timeseries.csv; ci_investment_events.csv
Investment,Investment and restructuring events,"Adds strategic context to capex: growth projects, closures and impairments have very different meanings for Nordzucker’s competitive positioning.",ci_investment_events.csv
