company_id,company_name,axis,display_axis,scoring_item,item_weight,item_score_1_5,weighted_points,item_rationale,evidence_record_ids,axis_order
ABF_SUGAR,ABF Sugar,finance,Finance strength,Balance sheet / debt pressure,0.15,3.0,0.45,Segment debt indicators were not extracted; impairment signals lower confidence.,MET_0082,1
ABF_SUGAR,ABF Sugar,finance,Finance strength,Disclosure comparability,0.15,3.5,0.525,"ABF segment information is available, but ABF Sugar PDFs were not uploaded locally.",MET_0072;MET_0073,1
ABF_SUGAR,ABF Sugar,finance,Finance strength,Profitability / operating result,0.45,2.5,1.125,Sugar adjusted operating result was close to break-even/negative at GBP -2m.,MET_0073,1
ABF_SUGAR,ABF Sugar,finance,Finance strength,Revenue and market scale,0.25,3.5,0.875,Sugar revenue was GBP 2.054bn.,MET_0072,1
ABF_SUGAR,ABF Sugar,risk,Risk resilience,Current stress signals,0.2,2.0,0.4,Expected 2026 operating loss and impairment at Azucarera/Vivergo are stress signals.,MET_0082,2
ABF_SUGAR,ABF Sugar,risk,Risk resilience,Evidence confidence,0.15,3.5,0.525,Evidence comes from official web supplement; local PDFs should be added for full reproducibility.,MET_0072;MET_0082,2
ABF_SUGAR,ABF Sugar,risk,Risk resilience,Geographic / business diversification,0.3,4.0,1.2,"21 plants, 9 countries and 9 operating businesses provide diversification.",MET_0074;MET_0075;MET_0078,2
ABF_SUGAR,ABF Sugar,risk,Risk resilience,Market-price exposure resilience,0.35,2.5,0.875,2026 Sugar outlook expects adjusted operating loss.,MET_0082,2
ABF_SUGAR,ABF Sugar,sustainability,Sustainability maturity,Agricultural / supply-chain sustainability,0.2,3.5,0.7,Scope 3 target indicates supply-chain coverage.,MET_0080,3
ABF_SUGAR,ABF Sugar,sustainability,Sustainability maturity,Operational sustainability KPIs,0.3,3.0,0.9,"Targets are clear, but fewer operational KPI records were extracted.",MET_0079;MET_0080,3
ABF_SUGAR,ABF Sugar,sustainability,Sustainability maturity,Reporting maturity,0.15,3.5,0.525,"ABF responsibility and SBTi pages are available, but uploaded PDF evidence is incomplete.",MET_0079;MET_0081,3
ABF_SUGAR,ABF Sugar,sustainability,Sustainability maturity,Validated targets and transition ambition,0.35,4.5,1.575,"Scope 1+2, Scope 3 and 2050 net-zero targets are available.",MET_0079;MET_0080;MET_0081,3
ABF_SUGAR,ABF Sugar,operations,Operational strength,Efficiency / modernization evidence,0.2,3.0,0.6,"Product and sustainability information exists, but modernization KPIs were not deeply extracted.",MET_0077;MET_0079,4
ABF_SUGAR,ABF Sugar,operations,Operational strength,Geographic diversification,0.25,4.0,1.0,Operations across 9 countries and 9 businesses.,MET_0075;MET_0078,4
ABF_SUGAR,ABF Sugar,operations,Operational strength,Production footprint scale,0.35,4.0,1.4,"21 plants and about 35,000 employees indicate substantial scale.",MET_0074;MET_0076,4
ABF_SUGAR,ABF Sugar,operations,Operational strength,Raw-material / production diversification,0.2,4.0,0.8,"Sugar, ethanol, feed, specialty products and bagasse electricity indicate operational diversity.",MET_0077,4
ABF_SUGAR,ABF Sugar,products,Product portfolio,Co-product valorization,0.2,4.5,0.9,"Animal feed, ethanol and bagasse renewable electricity are strong co-product signals.",MET_0077,5
ABF_SUGAR,ABF Sugar,products,Product portfolio,Evidence depth,0.15,3.0,0.45,"Product evidence comes from official website supplement, not uploaded PDFs.",MET_0077,5
ABF_SUGAR,ABF Sugar,products,Product portfolio,Portfolio breadth,0.4,4.0,1.6,"Portfolio includes sugar, feed, ethanol, specialty products and renewable electricity.",MET_0077,5
ABF_SUGAR,ABF Sugar,products,Product portfolio,Value-added / specialty products,0.25,3.5,0.875,"Specialty products are present, though detail is limited in extracted records.",MET_0077,5
ABF_SUGAR,ABF Sugar,regulation,Regulatory readiness,CSRD / ESRS readiness,0.3,3.5,1.05,"ABF-level reporting exists, but ABF Sugar-specific local PDF evidence is incomplete.",MET_0079;MET_0081,6
ABF_SUGAR,ABF Sugar,regulation,Regulatory readiness,Climate and taxonomy compliance maturity,0.25,4.0,1.0,SBTi targets support climate compliance maturity.,MET_0079;MET_0080;MET_0081,6
ABF_SUGAR,ABF Sugar,regulation,Regulatory readiness,Disclosure maturity,0.2,3.5,0.7,"Official ABF and ABF Sugar webpages provide evidence, but local PDFs are missing.",MET_0072;MET_0079,6
ABF_SUGAR,ABF Sugar,regulation,Regulatory readiness,Exposure to policy cost / sugar market regulation,0.25,2.5,0.625,Sugar outlook and EU market pressure indicate exposure.,MET_0082;MET_0085,6
ABF_SUGAR,ABF Sugar,investment,Investment momentum,Capex and modernization volume,0.35,2.5,0.875,No comparable capex amount was extracted for ABF Sugar.,MET_0082,7
ABF_SUGAR,ABF Sugar,investment,Investment momentum,Decarbonization investment,0.2,3.5,0.7,"SBTi targets imply transition investment needs, but project-level capex is missing.",MET_0079;MET_0080,7
ABF_SUGAR,ABF Sugar,investment,Investment momentum,Restructuring vs growth balance,0.2,2.0,0.4,Impairment and loss outlook point to defensive restructuring rather than growth momentum.,MET_0082,7
ABF_SUGAR,ABF Sugar,investment,Investment momentum,Strategic growth initiatives,0.25,3.0,0.75,"Global operating businesses provide a platform, but growth project evidence is limited.",MET_0078,7
NORDZUCKER,Nordzucker AG,finance,Finance strength,Balance sheet / debt pressure,0.15,3.0,0.45,"No detailed debt KPI extracted; not penalized heavily, but negative EBIT indicates pressure.",MET_0002,1
NORDZUCKER,Nordzucker AG,finance,Finance strength,Disclosure comparability,0.15,4.0,0.6,"Annual report provides clear revenue, EBIT and investment KPIs.",MET_0001;MET_0002;MET_0003,1
NORDZUCKER,Nordzucker AG,finance,Finance strength,Profitability / operating result,0.45,1.5,0.675,FY2025/26 EBIT was strongly negative at EUR -226m after low sugar prices and high costs.,MET_0002,1
NORDZUCKER,Nordzucker AG,finance,Finance strength,Revenue and market scale,0.25,3.0,0.75,Medium-large European sugar player with FY2025/26 revenue of EUR 2.343bn.,MET_0001,1
