company_id,company_name,axis,display_axis,score_1_5,scoring_items,evidence_record_ids,rationale,score_confidence,axis_order
ABF_SUGAR,ABF Sugar,finance,Finance strength,2.98,Revenue and market scale; Profitability / operating result; Balance sheet / debt pressure; Disclosure comparability,MET_0072;MET_0073;MET_0082,"Sugar revenue was GBP 2.054bn. | Sugar adjusted operating result was close to break-even/negative at GBP -2m. | Segment debt indicators were not extracted; impairment signals lower confidence. | ABF segment information is available, but ABF Sugar PDFs were not uploaded locally.",0.84,1
ABF_SUGAR,ABF Sugar,risk,Risk resilience,3.0,Market-price exposure resilience; Geographic / business diversification; Current stress signals; Evidence confidence,MET_0072;MET_0074;MET_0075;MET_0078;MET_0082,"2026 Sugar outlook expects adjusted operating loss. | 21 plants, 9 countries and 9 operating businesses provide diversification. | Expected 2026 operating loss and impairment at Azucarera/Vivergo are stress signals. | Evidence comes from official web supplement; local PDFs should be added for full reproducibility.",0.84,2
ABF_SUGAR,ABF Sugar,sustainability,Sustainability maturity,3.7,Validated targets and transition ambition; Operational sustainability KPIs; Agricultural / supply-chain sustainability; Reporting maturity,MET_0079;MET_0080;MET_0081,"Scope 1+2, Scope 3 and 2050 net-zero targets are available. | Targets are clear, but fewer operational KPI records were extracted. | Scope 3 target indicates supply-chain coverage. | ABF responsibility and SBTi pages are available, but uploaded PDF evidence is incomplete.",0.84,3
ABF_SUGAR,ABF Sugar,operations,Operational strength,3.8,Production footprint scale; Geographic diversification; Raw-material / production diversification; Efficiency / modernization evidence,MET_0074;MET_0075;MET_0076;MET_0077;MET_0078;MET_0079,"21 plants and about 35,000 employees indicate substantial scale. | Operations across 9 countries and 9 businesses. | Sugar, ethanol, feed, specialty products and bagasse electricity indicate operational diversity. | Product and sustainability information exists, but modernization KPIs were not deeply extracted.",0.84,4
ABF_SUGAR,ABF Sugar,products,Product portfolio,3.82,Portfolio breadth; Value-added / specialty products; Co-product valorization; Evidence depth,MET_0077,"Portfolio includes sugar, feed, ethanol, specialty products and renewable electricity. | Specialty products are present, though detail is limited in extracted records. | Animal feed, ethanol and bagasse renewable electricity are strong co-product signals. | Product evidence comes from official website supplement, not uploaded PDFs.",0.84,5
ABF_SUGAR,ABF Sugar,regulation,Regulatory readiness,3.38,CSRD / ESRS readiness; Climate and taxonomy compliance maturity; Exposure to policy cost / sugar market regulation; Disclosure maturity,MET_0072;MET_0079;MET_0080;MET_0081;MET_0082;MET_0085,"ABF-level reporting exists, but ABF Sugar-specific local PDF evidence is incomplete. | SBTi targets support climate compliance maturity. | Sugar outlook and EU market pressure indicate exposure. | Official ABF and ABF Sugar webpages provide evidence, but local PDFs are missing.",,6
ABF_SUGAR,ABF Sugar,investment,Investment momentum,2.72,Capex and modernization volume; Strategic growth initiatives; Decarbonization investment; Restructuring vs growth balance,MET_0078;MET_0079;MET_0080;MET_0082,"No comparable capex amount was extracted for ABF Sugar. | Global operating businesses provide a platform, but growth project evidence is limited. | SBTi targets imply transition investment needs, but project-level capex is missing. | Impairment and loss outlook point to defensive restructuring rather than growth momentum.",,7
NORDZUCKER,Nordzucker AG,finance,Finance strength,2.48,Revenue and market scale; Profitability / operating result; Balance sheet / debt pressure; Disclosure comparability,MET_0001;MET_0002;MET_0003,"Medium-large European sugar player with FY2025/26 revenue of EUR 2.343bn. | FY2025/26 EBIT was strongly negative at EUR -226m after low sugar prices and high costs. | No detailed debt KPI extracted; not penalized heavily, but negative EBIT indicates pressure. | Annual report provides clear revenue, EBIT and investment KPIs.",0.95,1
NORDZUCKER,Nordzucker AG,risk,Risk resilience,2.6,Market-price exposure resilience; Geographic / business diversification; Current stress signals; Evidence confidence,MET_0002;MET_0006;MET_0008;MET_0009;MET_0019,"Revenue and EBIT were heavily affected by low sugar prices and input costs. | Eight sugar-production countries and a cane business in Australia, but 89% of revenue still comes from beet sugar. | Negative EBIT and contingency savings programme indicate current stress. | Risk statement is official and linked to annual report evidence.",0.88,2
NORDZUCKER,Nordzucker AG,sustainability,Sustainability maturity,4.1,Validated targets and transition ambition; Operational sustainability KPIs; Agricultural / supply-chain sustainability; Reporting maturity,MET_0011;MET_0012;MET_0013;MET_0014;MET_0015;MET_0016;MET_0017;MET_0018,"SBTi-recognised Scope 1+2, Scope 3 and FLAG targets are available. | Operational KPIs include Scope 1 emissions, energy, renewable share and water consumption. | FLAG target directly covers agricultural emissions. | Targets and transparency document are available, but CSRD reporting starts later.",0.89,3
NORDZUCKER,Nordzucker AG,operations,Operational strength,3.4,Production footprint scale; Geographic diversification; Raw-material / production diversification; Efficiency / modernization evidence,MET_0003;MET_0004;MET_0005;MET_0006;MET_0007;MET_0009;MET_0019,"2.8m tonnes beet sugar, 0.6m tonnes cane raw sugar and 4,040 employees show medium-high scale. | Eight sugar-production countries across Europe and Australia. | Beet sugar plus cane raw sugar, but beet remains dominant. | Contingency and investment evidence exists, but no strong plant-efficiency KPI in the extracted set.",0.91,4
